ReceivingCode,ReceivingDescription,total_industry_output,auto_attributed_output,auto_share_of_output
317,Relay and industrial control manufacturing,10779824.1584919,984507.4419288303,0.09132871069638701
14002,Inventory Additions/Deletions,234763844.8539006,919489.296917912,0.003916656321121904
486,Other amusement and recreation industries,1585623817.0,865045.7311531113,0.0005455554601783023
281,Welding and soldering equipment manufacturing,22778750.719063003,827050.5467363299,0.03630798532090659
198,Concrete pipe manufacturing,97363598.14618,767567.0087969055,0.007883511121317577
20,Oil and gas extraction,1834143114.996143,750539.5140932141,0.00040920444427521805
487,Fitness and recreational sports centers,760176351.6,725452.261524991,0.0009543210072216498
262,Industrial and commercial fan and blower and air purification equipment manufacturing,29839520.715132996,659873.604746745,0.022114081893148257
482,Promoters of performing arts and sports and agents for public figures,1573629798.1,655367.0011152443,0.000416468347197374
356,"Showcase, partition, shelving, and locker manufacturing",68840218.613398,628823.6831324076,0.009134539311442905
277,Conveyor and conveying equipment manufacturing,60566967.050469995,615996.2947493552,0.010170499279517334
346,"Military armored vehicle, tank, and tank component manufacturing",7605407.236662,600798.9387767573,0.07899628778332808
315,Motor and generator manufacturing,6620428.6581678,557852.2166754429,0.08426225029812921
